20:33:53 | INFO    | Model: naea | Device: cuda
20:33:54 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
20:33:58 | INFO    | Params: 12.69M
20:33:58 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/logs/naea_zh_en_0_3_20260718-203353
20:33:58 | INFO    | Device: cuda:0 | entities=38960 relations=3024 triples=165556 seed_pairs=4500 test_pairs=10500
21:13:44 | INFO    | epoch  123/500 | loss=0.1450 (kge=0.1400 align=0.0010 pseudo=0.0006)
21:14:06 | INFO    | epoch  124/500 | loss=0.1448 (kge=0.1396 align=0.0010 pseudo=0.0007)
21:14:28 | INFO    | epoch  125/500 | loss=0.1446 (kge=0.1393 align=0.0010 pseudo=0.0006) | hard-neg refreshed | bootstrap: 5393 pseudo-pairs (beta=0.4)
21:14:49 | INFO    | epoch  126/500 | loss=0.1449 (kge=0.1391 align=0.0010 pseudo=0.0015)
21:15:11 | INFO    | epoch  127/500 | loss=0.1434 (kge=0.1388 align=0.0009 pseudo=0.0006)
21:15:33 | INFO    | epoch  128/500 | loss=0.1435 (kge=0.1386 align=0.0009 pseudo=0.0006)
21:15:54 | INFO    | epoch  129/500 | loss=0.1441 (kge=0.1388 align=0.0010 pseudo=0.0006)
21:16:16 | INFO    | epoch  130/500 | loss=0.1430 (kge=0.1384 align=0.0009 pseudo=0.0007) | hard-neg refreshed | bootstrap: 5419 pseudo-pairs (beta=0.4)
21:16:16 | INFO    |            [l2r] MRR=0.7093 Hit@1=0.6236 Hit@5=0.8150 Hit@10=0.8610 MR=58.7 | [r2l] MRR=0.7052 Hit@1=0.6196 Hit@5=0.8108 Hit@10=0.8589 MR=56.3 | [avg] MRR=0.7072 Hit@1=0.6216 Hit@5=0.8129 Hit@10=0.8600 MR=57.5
21:16:18 | INFO    |            -> new best MRR=0.7072 (saved model_best.pt)
21:16:40 | INFO    | epoch  131/500 | loss=0.1449 (kge=0.1387 align=0.0011 pseudo=0.0015)
21:17:01 | INFO    | epoch  132/500 | loss=0.1451 (kge=0.1387 align=0.0012 pseudo=0.0007)
21:17:24 | INFO    | epoch  133/500 | loss=0.1436 (kge=0.1385 align=0.0010 pseudo=0.0006)
21:17:45 | INFO    | epoch  134/500 | loss=0.1432 (kge=0.1382 align=0.0010 pseudo=0.0006)
21:18:07 | INFO    | epoch  135/500 | loss=0.1429 (kge=0.1382 align=0.0009 pseudo=0.0006) | hard-neg refreshed | bootstrap: 5455 pseudo-pairs (beta=0.4)
21:18:29 | INFO    | epoch  136/500 | loss=0.1425 (kge=0.1378 align=0.0008 pseudo=0.0013)
21:18:51 | INFO    | epoch  137/500 | loss=0.1425 (kge=0.1375 align=0.0010 pseudo=0.0006)
21:19:13 | INFO    | epoch  138/500 | loss=0.1421 (kge=0.1374 align=0.0009 pseudo=0.0006)
21:19:34 | INFO    | epoch  139/500 | loss=0.1431 (kge=0.1373 align=0.0011 pseudo=0.0007)
21:19:57 | INFO    | epoch  140/500 | loss=0.1429 (kge=0.1374 align=0.0011 pseudo=0.0006) | hard-neg refreshed | bootstrap: 5487 pseudo-pairs (beta=0.4)
21:19:57 | INFO    |            [l2r] MRR=0.7098 Hit@1=0.6252 Hit@5=0.8151 Hit@10=0.8625 MR=61.2 | [r2l] MRR=0.7068 Hit@1=0.6221 Hit@5=0.8131 Hit@10=0.8592 MR=57.5 | [avg] MRR=0.7083 Hit@1=0.6237 Hit@5=0.8141 Hit@10=0.8609 MR=59.3
21:19:58 | INFO    |            -> new best MRR=0.7083 (saved model_best.pt)
21:20:20 | INFO    | epoch  141/500 | loss=0.1426 (kge=0.1373 align=0.0010 pseudo=0.0012)
21:20:42 | INFO    | epoch  142/500 | loss=0.1423 (kge=0.1372 align=0.0010 pseudo=0.0006)
21:21:04 | INFO    | epoch  143/500 | loss=0.1418 (kge=0.1372 align=0.0009 pseudo=0.0005)
21:21:25 | INFO    | epoch  144/500 | loss=0.1446 (kge=0.1369 align=0.0014 pseudo=0.0012)
21:21:48 | INFO    | epoch  145/500 | loss=0.1439 (kge=0.1376 align=0.0012 pseudo=0.0006) | hard-neg refreshed | bootstrap: 5531 pseudo-pairs (beta=0.4)
