04:26:49 | INFO    | Model: bootea | Device: cuda
04:26:50 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
04:26:52 | INFO    | Params: 12.60M
04:26:52 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/bootea_zh_en_0_3_20260718-042649
04:26:52 | INFO    | Device: cuda:0 | entities=38960 relations=3024 base_triples=165556 triples(+seed-swap)=246959 seed_pairs=4500 test_pairs=10500
04:28:26 | INFO    | epoch   51/500 | loss=0.8331 (kge=0.7900 align=0.0082 pseudo=0.0022)
04:28:28 | INFO    | epoch   52/500 | loss=0.8271 (kge=0.7861 align=0.0079 pseudo=0.0016)
04:28:31 | INFO    | epoch   53/500 | loss=0.8244 (kge=0.7842 align=0.0077 pseudo=0.0017)
04:28:33 | INFO    | epoch   54/500 | loss=0.8217 (kge=0.7823 align=0.0075 pseudo=0.0018)
04:28:35 | INFO    | epoch   55/500 | loss=0.8196 (kge=0.7806 align=0.0075 pseudo=0.0016) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6609 pseudo-pairs (beta=1.0)
04:28:38 | INFO    | epoch   56/500 | loss=0.8286 (kge=0.7872 align=0.0079 pseudo=0.0021)
04:28:40 | INFO    | epoch   57/500 | loss=0.8219 (kge=0.7837 align=0.0073 pseudo=0.0016)
04:28:42 | INFO    | epoch   58/500 | loss=0.8221 (kge=0.7818 align=0.0077 pseudo=0.0018)
04:28:44 | INFO    | epoch   59/500 | loss=0.8190 (kge=0.7804 align=0.0074 pseudo=0.0017)
04:28:47 | INFO    | epoch   60/500 | loss=0.8171 (kge=0.7788 align=0.0073 pseudo=0.0017) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6649 pseudo-pairs (beta=1.0)
04:28:47 | INFO    |            [l2r] MRR=0.6438 Hit@1=0.5308 Hit@5=0.7833 Hit@10=0.8475 MR=42.3 | [r2l] MRR=0.6372 Hit@1=0.5268 Hit@5=0.7707 Hit@10=0.8375 MR=35.1 | [avg] MRR=0.6405 Hit@1=0.5288 Hit@5=0.7770 Hit@10=0.8425 MR=38.7
04:28:48 | INFO    |            -> new best MRR=0.6405 (saved model_best.pt)
04:28:50 | INFO    | epoch   61/500 | loss=0.8303 (kge=0.7864 align=0.0084 pseudo=0.0020)
04:28:52 | INFO    | epoch   62/500 | loss=0.8199 (kge=0.7830 align=0.0071 pseudo=0.0015)
04:28:54 | INFO    | epoch   63/500 | loss=0.8199 (kge=0.7805 align=0.0075 pseudo=0.0017)
04:28:56 | INFO    | epoch   64/500 | loss=0.8170 (kge=0.7795 align=0.0072 pseudo=0.0016)
04:28:59 | INFO    | epoch   65/500 | loss=0.8178 (kge=0.7785 align=0.0075 pseudo=0.0017) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6682 pseudo-pairs (beta=1.0)
04:29:01 | INFO    | epoch   66/500 | loss=0.8263 (kge=0.7854 align=0.0078 pseudo=0.0021)
04:29:04 | INFO    | epoch   67/500 | loss=0.8201 (kge=0.7823 align=0.0072 pseudo=0.0016)
04:29:06 | INFO    | epoch   68/500 | loss=0.8178 (kge=0.7800 align=0.0072 pseudo=0.0016)
04:29:08 | INFO    | epoch   69/500 | loss=0.8162 (kge=0.7785 align=0.0072 pseudo=0.0017)
04:29:11 | INFO    | epoch   70/500 | loss=0.8162 (kge=0.7775 align=0.0074 pseudo=0.0017) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6732 pseudo-pairs (beta=1.0)
04:29:11 | INFO    |            [l2r] MRR=0.6489 Hit@1=0.5383 Hit@5=0.7869 Hit@10=0.8524 MR=42.3 | [r2l] MRR=0.6432 Hit@1=0.5350 Hit@5=0.7768 Hit@10=0.8407 MR=35.2 | [avg] MRR=0.6460 Hit@1=0.5366 Hit@5=0.7818 Hit@10=0.8465 MR=38.7
04:29:11 | INFO    |            -> new best MRR=0.6460 (saved model_best.pt)
04:29:14 | INFO    | epoch   71/500 | loss=0.8249 (kge=0.7851 align=0.0076 pseudo=0.0020)
04:29:16 | INFO    | epoch   72/500 | loss=0.8212 (kge=0.7831 align=0.0073 pseudo=0.0018)
04:29:18 | INFO    | epoch   73/500 | loss=0.8163 (kge=0.7798 align=0.0070 pseudo=0.0017)
04:29:20 | INFO    | epoch   74/500 | loss=0.8166 (kge=0.7793 align=0.0071 pseudo=0.0018)
04:29:23 | INFO    | epoch   75/500 | loss=0.8162 (kge=0.7790 align=0.0071 pseudo=0.0018) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6792 pseudo-pairs (beta=1.0)
04:29:25 | INFO    | epoch   76/500 | loss=0.8247 (kge=0.7844 align=0.0077 pseudo=0.0020)
04:29:27 | INFO    | epoch   77/500 | loss=0.8185 (kge=0.7806 align=0.0072 pseudo=0.0018)
04:29:30 | INFO    | epoch   78/500 | loss=0.8157 (kge=0.7786 align=0.0071 pseudo=0.0017)
04:29:32 | INFO    | epoch   79/500 | loss=0.8119 (kge=0.7767 align=0.0067 pseudo=0.0016)
04:29:35 | INFO    | epoch   80/500 | loss=0.8135 (kge=0.7758 align=0.0072 pseudo=0.0018) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6778 pseudo-pairs (beta=1.0)
04:29:35 | INFO    |            [l2r] MRR=0.6495 Hit@1=0.5379 Hit@5=0.7877 Hit@10=0.8519 MR=39.1 | [r2l] MRR=0.6446 Hit@1=0.5347 Hit@5=0.7782 Hit@10=0.8430 MR=30.8 | [avg] MRR=0.6470 Hit@1=0.5363 Hit@5=0.7830 Hit@10=0.8475 MR=35.0
04:29:35 | INFO    |            -> new best MRR=0.6470 (saved model_best.pt)
04:29:37 | INFO    | epoch   81/500 | loss=0.8243 (kge=0.7830 align=0.0079 pseudo=0.0020)
04:29:40 | INFO    | epoch   82/500 | loss=0.8172 (kge=0.7807 align=0.0070 pseudo=0.0017)
04:29:42 | INFO    | epoch   83/500 | loss=0.8142 (kge=0.7787 align=0.0068 pseudo=0.0016)
04:29:44 | INFO    | epoch   84/500 | loss=0.8145 (kge=0.7775 align=0.0070 pseudo=0.0018)
04:29:47 | INFO    | epoch   85/500 | loss=0.8126 (kge=0.7763 align=0.0069 pseudo=0.0017) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6838 pseudo-pairs (beta=1.0)
04:29:49 | INFO    | epoch   86/500 | loss=0.8233 (kge=0.7824 align=0.0078 pseudo=0.0020)
04:29:51 | INFO    | epoch   87/500 | loss=0.8153 (kge=0.7796 align=0.0068 pseudo=0.0017)
04:29:54 | INFO    | epoch   88/500 | loss=0.8149 (kge=0.7776 align=0.0071 pseudo=0.0019)
04:29:56 | INFO    | epoch   89/500 | loss=0.8127 (kge=0.7766 align=0.0069 pseudo=0.0018)
04:29:59 | INFO    | epoch   90/500 | loss=0.8125 (kge=0.7756 align=0.0070 pseudo=0.0017) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6866 pseudo-pairs (beta=1.0)
04:29:59 | INFO    |            [l2r] MRR=0.6534 Hit@1=0.5415 Hit@5=0.7911 Hit@10=0.8549 MR=37.1 | [r2l] MRR=0.6492 Hit@1=0.5420 Hit@5=0.7827 Hit@10=0.8466 MR=29.1 | [avg] MRR=0.6513 Hit@1=0.5418 Hit@5=0.7869 Hit@10=0.8507 MR=33.1
04:29:59 | INFO    |            -> new best MRR=0.6513 (saved model_best.pt)
04:30:01 | INFO    | epoch   91/500 | loss=0.8199 (kge=0.7812 align=0.0073 pseudo=0.0020)
04:30:04 | INFO    | epoch   92/500 | loss=0.8153 (kge=0.7791 align=0.0069 pseudo=0.0016)
04:30:06 | INFO    | epoch   93/500 | loss=0.8131 (kge=0.7775 align=0.0068 pseudo=0.0018)
04:30:08 | INFO    | epoch   94/500 | loss=0.8121 (kge=0.7762 align=0.0068 pseudo=0.0018)
04:30:11 | INFO    | epoch   95/500 | loss=0.8112 (kge=0.7755 align=0.0068 pseudo=0.0019) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6894 pseudo-pairs (beta=1.0)
04:30:13 | INFO    | epoch   96/500 | loss=0.8170 (kge=0.7803 align=0.0070 pseudo=0.0020)
04:30:15 | INFO    | epoch   97/500 | loss=0.8130 (kge=0.7774 align=0.0068 pseudo=0.0018)
04:30:18 | INFO    | epoch   98/500 | loss=0.8130 (kge=0.7766 align=0.0069 pseudo=0.0018)
04:30:20 | INFO    | epoch   99/500 | loss=0.8116 (kge=0.7758 align=0.0068 pseudo=0.0019)
04:30:23 | INFO    | epoch  100/500 | loss=0.8104 (kge=0.7747 align=0.0068 pseudo=0.0018) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6908 pseudo-pairs (beta=1.0)
04:30:23 | INFO    |            [l2r] MRR=0.6568 Hit@1=0.5454 Hit@5=0.7935 Hit@10=0.8559 MR=40.1 | [r2l] MRR=0.6485 Hit@1=0.5386 Hit@5=0.7826 Hit@10=0.8452 MR=28.8 | [avg] MRR=0.6526 Hit@1=0.5420 Hit@5=0.7880 Hit@10=0.8506 MR=34.5
04:30:23 | INFO    |            -> new best MRR=0.6526 (saved model_best.pt)
04:30:25 | INFO    | epoch  101/500 | loss=0.8169 (kge=0.7796 align=0.0071 pseudo=0.0020)
04:30:28 | INFO    | epoch  102/500 | loss=0.8120 (kge=0.7773 align=0.0066 pseudo=0.0018)
04:30:30 | INFO    | epoch  103/500 | loss=0.8111 (kge=0.7758 align=0.0067 pseudo=0.0019)
04:30:32 | INFO    | epoch  104/500 | loss=0.8105 (kge=0.7748 align=0.0068 pseudo=0.0018)
04:30:35 | INFO    | epoch  105/500 | loss=0.8105 (kge=0.7742 align=0.0069 pseudo=0.0019) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6963 pseudo-pairs (beta=1.0)
04:30:37 | INFO    | epoch  106/500 | loss=0.8152 (kge=0.7785 align=0.0069 pseudo=0.0020)
04:30:39 | INFO    | epoch  107/500 | loss=0.8116 (kge=0.7762 align=0.0067 pseudo=0.0017)
04:30:42 | INFO    | epoch  108/500 | loss=0.8113 (kge=0.7752 align=0.0069 pseudo=0.0017)
04:30:44 | INFO    | epoch  109/500 | loss=0.8101 (kge=0.7742 align=0.0068 pseudo=0.0019)
04:30:47 | INFO    | epoch  110/500 | loss=0.8088 (kge=0.7733 align=0.0067 pseudo=0.0019) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6953 pseudo-pairs (beta=1.0)
04:30:47 | INFO    |            [l2r] MRR=0.6607 Hit@1=0.5531 Hit@5=0.7938 Hit@10=0.8561 MR=38.5 | [r2l] MRR=0.6530 Hit@1=0.5466 Hit@5=0.7830 Hit@10=0.8470 MR=29.9 | [avg] MRR=0.6568 Hit@1=0.5499 Hit@5=0.7884 Hit@10=0.8515 MR=34.2
04:30:47 | INFO    |            -> new best MRR=0.6568 (saved model_best.pt)
04:30:50 | INFO    | epoch  111/500 | loss=0.8162 (kge=0.7785 align=0.0071 pseudo=0.0020)
04:30:52 | INFO    | epoch  112/500 | loss=0.8117 (kge=0.7769 align=0.0066 pseudo=0.0018)
04:30:54 | INFO    | epoch  113/500 | loss=0.8120 (kge=0.7765 align=0.0067 pseudo=0.0018)
04:30:56 | INFO    | epoch  114/500 | loss=0.8106 (kge=0.7758 align=0.0066 pseudo=0.0018)
04:30:59 | INFO    | epoch  115/500 | loss=0.8087 (kge=0.7741 align=0.0065 pseudo=0.0018) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6960 pseudo-pairs (beta=1.0)
04:31:01 | INFO    | epoch  116/500 | loss=0.8158 (kge=0.7794 align=0.0069 pseudo=0.0020)
04:31:04 | INFO    | epoch  117/500 | loss=0.8127 (kge=0.7765 align=0.0069 pseudo=0.0018)
04:31:06 | INFO    | epoch  118/500 | loss=0.8102 (kge=0.7754 align=0.0066 pseudo=0.0019)
04:31:08 | INFO    | epoch  119/500 | loss=0.8089 (kge=0.7742 align=0.0066 pseudo=0.0018)
04:31:11 | INFO    | epoch  120/500 | loss=0.8083 (kge=0.7732 align=0.0066 pseudo=0.0018) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 7012 pseudo-pairs (beta=1.0)
04:31:11 | INFO    |            [l2r] MRR=0.6597 Hit@1=0.5516 Hit@5=0.7925 Hit@10=0.8556 MR=36.1 | [r2l] MRR=0.6544 Hit@1=0.5493 Hit@5=0.7855 Hit@10=0.8450 MR=27.8 | [avg] MRR=0.6570 Hit@1=0.5505 Hit@5=0.7890 Hit@10=0.8503 MR=32.0
04:31:11 | INFO    |            -> new best MRR=0.6570 (saved model_best.pt)
04:31:14 | INFO    | epoch  121/500 | loss=0.8135 (kge=0.7771 align=0.0069 pseudo=0.0019)
04:31:16 | INFO    | epoch  122/500 | loss=0.8117 (kge=0.7757 align=0.0068 pseudo=0.0019)
04:31:18 | INFO    | epoch  123/500 | loss=0.8084 (kge=0.7743 align=0.0064 pseudo=0.0019)
04:31:20 | INFO    | epoch  124/500 | loss=0.8054 (kge=0.7729 align=0.0061 pseudo=0.0018)
04:31:23 | INFO    | epoch  125/500 | loss=0.8074 (kge=0.7720 align=0.0067 pseudo=0.0020) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6953 pseudo-pairs (beta=1.0)
04:31:25 | INFO    | epoch  126/500 | loss=0.8158 (kge=0.7776 align=0.0073 pseudo=0.0019)
04:31:28 | INFO    | epoch  127/500 | loss=0.8113 (kge=0.7759 align=0.0067 pseudo=0.0018)
