20:02:39 | INFO    | Model: alinet | Device: cuda
20:02:39 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
20:02:56 | INFO    | Params: 24.01M
20:02:56 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/alinet_zh_en_0_3_20260718-200239
20:02:56 | INFO    | Device: cuda:0 | entities=38960 2hop_edges=1354509 rep_dim=1000 seed_pairs=4500 test_pairs=10500
20:07:34 | INFO    |            [l2r] MRR=0.6195 Hit@1=0.5147 Hit@5=0.7501 Hit@10=0.8090 MR=84.3 | [r2l] MRR=0.6178 Hit@1=0.5139 Hit@5=0.7478 Hit@10=0.8085 MR=78.5 | [avg] MRR=0.6187 Hit@1=0.5143 Hit@5=0.7490 Hit@10=0.8088 MR=81.4
20:07:38 | INFO    | epoch 1000/3000 | loss=0.1682 | hard-neg refreshed
20:07:38 | INFO    |            [l2r] MRR=0.6194 Hit@1=0.5137 Hit@5=0.7505 Hit@10=0.8068 MR=88.1 | [r2l] MRR=0.6161 Hit@1=0.5102 Hit@5=0.7490 Hit@10=0.8084 MR=81.6 | [avg] MRR=0.6177 Hit@1=0.5120 Hit@5=0.7497 Hit@10=0.8076 MR=84.8
20:07:42 | INFO    | epoch 1020/3000 | loss=0.1659 | hard-neg refreshed
20:07:42 | INFO    |            [l2r] MRR=0.6208 Hit@1=0.5148 Hit@5=0.7523 Hit@10=0.8089 MR=85.7 | [r2l] MRR=0.6182 Hit@1=0.5133 Hit@5=0.7498 Hit@10=0.8092 MR=79.1 | [avg] MRR=0.6195 Hit@1=0.5140 Hit@5=0.7510 Hit@10=0.8090 MR=82.4
20:07:44 | INFO    |            -> new best MRR=0.6195 (saved model_best.pt)
20:07:48 | INFO    | epoch 1040/3000 | loss=0.1667 | hard-neg refreshed
20:07:48 | INFO    |            [l2r] MRR=0.6208 Hit@1=0.5158 Hit@5=0.7512 Hit@10=0.8075 MR=84.8 | [r2l] MRR=0.6184 Hit@1=0.5144 Hit@5=0.7472 Hit@10=0.8101 MR=78.0 | [avg] MRR=0.6196 Hit@1=0.5151 Hit@5=0.7492 Hit@10=0.8088 MR=81.4
20:07:50 | INFO    |            -> new best MRR=0.6196 (saved model_best.pt)
20:07:53 | INFO    | epoch 1060/3000 | loss=0.1649 | hard-neg refreshed
20:07:53 | INFO    |            [l2r] MRR=0.6220 Hit@1=0.5181 Hit@5=0.7512 Hit@10=0.8079 MR=84.4 | [r2l] MRR=0.6182 Hit@1=0.5135 Hit@5=0.7486 Hit@10=0.8080 MR=77.3 | [avg] MRR=0.6201 Hit@1=0.5158 Hit@5=0.7499 Hit@10=0.8080 MR=80.8
20:07:55 | INFO    |            -> new best MRR=0.6201 (saved model_best.pt)
20:07:59 | INFO    | epoch 1080/3000 | loss=0.1646 | hard-neg refreshed
