20:28:24 | INFO    | Model: dgmc | Device: cuda
20:28:30 | INFO    | Data: {'pair': 'zh_en', 'num_features': 300, '|src nodes|': 19388, '|tgt nodes|': 19572, '|src edges|': 70414, '|tgt edges|': 95142, 'train_y': 4500, 'test_y': 10500}
20:28:33 | INFO    | Params: 0.91M
20:28:33 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/dgmc_zh_en_20260718-202824
20:28:33 | INFO    | Device: cuda:0 | src=19388 tgt=19572 feat=300 train_y=4500 test_y=10500
20:28:33 | INFO    | Phase 1 (1..100): local feature matching (num_steps=0).
20:29:13 | INFO    | epoch  135/300 | loss=0.0507 | Hit@1=0.7476 Hit@10=0.8368 MRR=0.7784
20:29:14 | INFO    | epoch  136/300 | loss=0.0601 | Hit@1=0.7475 Hit@10=0.8367 MRR=0.7787
20:29:15 | INFO    | epoch  137/300 | loss=0.0658 | Hit@1=0.7491 Hit@10=0.8345 MRR=0.7794
20:29:15 | INFO    | epoch  138/300 | loss=0.0510 | Hit@1=0.7502 Hit@10=0.8347 MRR=0.7795
20:29:16 | INFO    |            -> new best Hit@1=0.7502 (saved model_best.pt)
20:29:16 | INFO    | epoch  139/300 | loss=0.0578 | Hit@1=0.7476 Hit@10=0.8357 MRR=0.7783
20:29:17 | INFO    | epoch  140/300 | loss=0.0424 | Hit@1=0.7494 Hit@10=0.8352 MRR=0.7798
20:29:18 | INFO    | epoch  141/300 | loss=0.0411 | Hit@1=0.7486 Hit@10=0.8342 MRR=0.7787
20:29:18 | INFO    | epoch  142/300 | loss=0.0393 | Hit@1=0.7482 Hit@10=0.8350 MRR=0.7788
20:29:19 | INFO    | epoch  143/300 | loss=0.0348 | Hit@1=0.7479 Hit@10=0.8359 MRR=0.7792
20:29:20 | INFO    | epoch  144/300 | loss=0.0352 | Hit@1=0.7492 Hit@10=0.8357 MRR=0.7803
20:29:21 | INFO    | epoch  145/300 | loss=0.0374 | Hit@1=0.7483 Hit@10=0.8378 MRR=0.7793
20:29:22 | INFO    | epoch  146/300 | loss=0.0336 | Hit@1=0.7509 Hit@10=0.8371 MRR=0.7813
20:29:22 | INFO    |            -> new best Hit@1=0.7509 (saved model_best.pt)
20:29:22 | INFO    | epoch  147/300 | loss=0.0317 | Hit@1=0.7503 Hit@10=0.8364 MRR=0.7806
20:29:23 | INFO    | epoch  148/300 | loss=0.0286 | Hit@1=0.7503 Hit@10=0.8372 MRR=0.7811
20:29:24 | INFO    | epoch  149/300 | loss=0.0274 | Hit@1=0.7485 Hit@10=0.8352 MRR=0.7794
20:29:25 | INFO    | epoch  150/300 | loss=0.0293 | Hit@1=0.7504 Hit@10=0.8377 MRR=0.7814
20:29:25 | INFO    | epoch  151/300 | loss=0.0235 | Hit@1=0.7503 Hit@10=0.8370 MRR=0.7808
20:29:26 | INFO    | epoch  152/300 | loss=0.0266 | Hit@1=0.7502 Hit@10=0.8371 MRR=0.7807
20:29:27 | INFO    | epoch  153/300 | loss=0.0317 | Hit@1=0.7508 Hit@10=0.8379 MRR=0.7816
20:29:28 | INFO    | epoch  154/300 | loss=0.0243 | Hit@1=0.7520 Hit@10=0.8377 MRR=0.7826
20:29:28 | INFO    |            -> new best Hit@1=0.7520 (saved model_best.pt)
20:29:28 | INFO    | epoch  155/300 | loss=0.0149 | Hit@1=0.7504 Hit@10=0.8389 MRR=0.7818
20:29:29 | INFO    | epoch  156/300 | loss=0.0208 | Hit@1=0.7508 Hit@10=0.8379 MRR=0.7817
20:29:30 | INFO    | epoch  157/300 | loss=0.0172 | Hit@1=0.7551 Hit@10=0.8384 MRR=0.7845
20:29:30 | INFO    |            -> new best Hit@1=0.7551 (saved model_best.pt)
20:29:31 | INFO    | epoch  158/300 | loss=0.0238 | Hit@1=0.7523 Hit@10=0.8386 MRR=0.7827
20:29:32 | INFO    | epoch  159/300 | loss=0.0205 | Hit@1=0.7519 Hit@10=0.8380 MRR=0.7829
20:29:32 | INFO    | epoch  160/300 | loss=0.0234 | Hit@1=0.7532 Hit@10=0.8377 MRR=0.7835
20:29:33 | INFO    | epoch  161/300 | loss=0.0215 | Hit@1=0.7523 Hit@10=0.8387 MRR=0.7826
20:29:34 | INFO    | epoch  162/300 | loss=0.0232 | Hit@1=0.7510 Hit@10=0.8375 MRR=0.7813
20:29:35 | INFO    | epoch  163/300 | loss=0.0196 | Hit@1=0.7512 Hit@10=0.8374 MRR=0.7823
